Date,Open,High,Low,Close,Percent Change,Volume
2019-05-12,1292.12,1295.03,1284.17,1295.03,0.24,672155008.0
2019-05-09,1297.57,1302.62,1290.11,1291.96,-0.43,605086976.0
2019-05-08,1301.39,1304.15,1295.32,1297.6,-0.28,494902016.0
2019-05-07,1298.35,1311.18,1295.73,1301.28,0.14,699849024.0
2019-05-06,1278.0,1299.41,1270.06,1299.41,1.7,619564992.0
2019-05-05,1293.71,1293.71,1276.73,1277.68,-1.29,628641024.0
2019-05-02,1298.8,1300.43,1282.95,1294.39,-0.32,573145024.0
2019-04-30,1310.65,1316.53,1296.07,1298.6,-0.89,913017984.0
2019-04-29,1318.44,1322.95,1299.09,1310.31,-0.32,1160230016.0
2019-04-28,1293.77,1322.88,1293.77,1314.51,1.73,1616089984.0
2019-04-25,1279.67,1296.92,1279.67,1292.12,1.0,1335980032.0
2019-04-24,1265.11,1280.84,1261.69,1279.29,1.48,921345984.0
2019-04-23,1256.61,1268.32,1248.5,1260.68,0.3,561851008.0
2019-04-22,1264.77,1280.08,1247.65,1256.94,-0.57,1000550016.0
2019-04-21,1232.53,1264.2,1230.22,1264.2,2.59,1004000000.0
2019-04-18,1217.11,1232.26,1214.95,1232.26,1.25,732081024.0
2019-04-17,1212.34,1223.42,1210.35,1217.04,0.41,803244992.0
2019-04-16,1187.73,1212.05,1187.73,1212.05,1.96,723990016.0
2019-04-15,1184.22,1188.71,1181.95,1188.71,0.4,289871008.0
2019-04-11,1184.29,1189.98,1180.18,1184.02,-0.05,387624000.0
2019-04-10,1181.72,1187.98,1174.88,1184.61,0.3,358990016.0
2019-04-09,1191.78,1194.62,1180.0,1181.1,-0.89,622529984.0
2019-04-08,1183.46,1197.88,1179.47,1191.68,0.79,864142976.0
2019-04-07,1164.94,1182.36,1161.66,1182.36,1.47,518228000.0
2019-04-04,1165.85,1169.87,1159.9,1165.2,-0.05,386452000.0
2019-04-03,1163.71,1172.4,1158.79,1165.84,0.17,524422016.0
2019-04-02,1153.89,1164.41,1153.89,1163.82,1.22,472344992.0
2019-04-01,1142.65,1152.05,1142.06,1149.99,0.56,326448992.0
2019-03-31,1145.95,1149.81,1139.68,1143.09,-0.13,241951008.0
2019-03-28,1142.0,1144.53,1140.56,1144.53,0.17,215416992.0
2019-03-27,1140.69,1142.81,1140.16,1142.61,0.17,208898000.0
2019-01-10,1179.36,1183.19,1179.36,1180.84,0.13,344812992.0
2019-01-09,1177.87,1177.07,1183.12,1179.36,0.19,275980992.0
2019-01-08,1177.87,1180.85,1177.15,1177.07,-0.03,332627008.0
2019-01-07,1170.72,1181.17,1170.36,1177.46,0.57,322203008.0
2019-01-06,1178.25,1181.58,1170.11,1170.79,-0.69,298870016.0
2019-01-03,1180.47,1184.95,1178.06,1178.87,-0.13,262468000.0
2019-01-02,1185.91,1186.9,1180.43,1180.43,-0.46,246231008.0
2019-01-01,1187.3,1196.18,1183.84,1185.91,-0.19,227166000.0
2018-12-31,1204.68,1207.25,1188.19,1188.19,-1.36,390624000.0
2018-12-30,1215.14,1219.29,1204.24,1204.54,-0.87,433888992.0
2018-12-27,1216.57,1232.74,1211.72,1215.16,-0.09,1097720064.0
2018-12-26,1186.11,1216.27,1184.3,1216.27,2.55,679681024.0
2018-12-25,1192.61,1192.95,1182.41,1186.03,-0.48,337190016.0
2018-12-24,1198.26,1207.88,1190.86,1191.74,-0.54,695494976.0
2018-12-23,1166.33,1198.18,1166.33,1198.18,2.76,756868992.0
2018-12-20,1162.65,1173.8,1162.65,1165.97,0.28,393798016.0
2018-12-19,1168.29,1171.58,1158.88,1162.7,-0.47,342703008.0
2018-12-18,1183.12,1185.36,1165.59,1168.17,-1.24,512580992.0
2018-12-17,1167.55,1182.81,1166.06,1182.78,1.29,360561984.0
2018-12-16,1149.23,1168.59,1149.23,1167.67,1.64,437036992.0
2018-12-13,1141.25,1153.17,1140.54,1148.78,0.67,298800000.0
2018-12-12,1140.83,1143.7,1137.67,1141.18,0.01,208110000.0
2018-12-11,1143.85,1145.75,1139.95,1141.1,-0.27,370360992.0
